artist,acousticness,danceability,energy,liveness,valence,popularity,year,topartist
['CJ'],0.19,0.711,0.598,0.15,0.737,94,2020s,artist1
['Boza'],0.362,0.725,0.756,0.103,0.828,92,2020s,artist2
['Farruko'],0.0882,0.659,0.701,0.0866,0.623,90,2020s,artist3
['HVME'],0.325,0.767,0.659,0.13,0.439,90,2020s,artist4
['Camilo'],0.167,0.824,0.457,0.041,0.95,90,2020s,artist5
['Regard'],0.177,0.88,0.751,0.106,0.884,86,2010s,artist1
['Calum Scott'],0.8785,0.5065,0.204,0.11765,0.227,82,2010s,artist2
['Anne-Marie'],0.0372,0.697,0.683,0.137,0.603,82,2010s,artist3
['Duncan Laurence'],0.818,0.45,0.329,0.135,0.266,82,2010s,artist4
['Chord Overstreet'],0.469,0.618,0.443,0.0829,0.167,82,2010s,artist5
['Daniel Powter'],0.448,0.599,0.785,0.151,0.52,75,2000s,artist1
['Modjo'],0.00793,0.72,0.808,0.0634,0.869,72,2000s,artist2
['Angel Y Khriz'],0.0606,0.675,0.919,0.103,0.726,72,2000s,artist3
['Zion & Lennox'],0.041,0.808,0.697,0.0546,0.554,72,2000s,artist4
['The Calling'],0.0367,0.558,0.719,0.115,0.371,72,2000s,artist5
['Fools Garden'],0.643,0.663,0.475,0.122,0.644,76,1990s,artist1
['Lou Bega'],0.103,0.622,0.807,0.306,0.892,75,1990s,artist2
['Gala'],0.587,0.704,0.861,0.0992,0.636,71,1990s,artist3
['Crazy Town'],0.00132,0.736,0.811,0.107,0.609,71,1990s,artist4
['Mr. President'],0.0791,0.832,0.838,0.152,0.965,71,1990s,artist5
['Michael Sembello'],0.0891,0.617,0.533,0.0415,0.835,74,1980s,artist1
['John Waite'],0.052,0.552,0.552,0.046,0.593,70,1980s,artist2
['U.S.A. For Africa'],0.189,0.528,0.447,0.0745,0.292,69,1980s,artist3
['Black'],0.705,0.72,0.521,0.214,0.823,66,1980s,artist4
['Miguel Ríos'],0.213,0.545,0.682,0.147,0.713,65,1980s,artist5
['Aliotta Haynes Jeremiah'],0.204,0.434,0.885,0.0811,0.843,65,1970s,artist1
['Randy VanWarmer'],0.615,0.583,0.313,0.121,0.346,62,1970s,artist2
['Ace'],0.587,0.717,0.406,0.0869,0.703,60,1970s,artist3
['Starland Vocal Band'],0.49,0.486,0.445,0.101,0.788,60,1970s,artist4
['Milionário & José Rico'],0.682,0.501,0.374,0.276,0.813,60,1970s,artist5
['Thurl Ravenscroft'],0.898,0.559,0.373,0.124,0.684,59,1960s,artist1
['Darlene Love'],0.6355,0.38775,0.7685,0.195075,0.464,57.75,1960s,artist2
['Mal Waldron'],0.983,0.492,0.205,0.122,0.109,57,1960s,artist3
['Thunderclap Newman'],0.307,0.506,0.402,0.0814,0.54,54,1960s,artist4
['Skaldowie'],0.358,0.524,0.502,0.56,0.709,53,1960s,artist5
['Gayla Peevey'],0.832,0.853,0.338,0.135,0.927,62,1950s,artist1
['Jonny Bombastic'],0.634,0.63,0.856,0.243,0.931,44,1950s,artist2
['Count Basie Orchestra'],0.73,0.502,0.536,0.115,0.854,40,1950s,artist3
['Benny Golson Sextet'],0.943,0.415,0.124,0.0848,0.266,34,1950s,artist4
['Larry Williams'],0.4955,0.5475,0.6515,0.1358,0.949,32.5,1950s,artist5
['Jimmy Boyd'],0.927,0.5025,0.175,0.141,0.4605,26,1940s,artist1
['Mitch Miller & The Gang'],0.7865,0.401,0.79,0.211,0.6405,23,1940s,artist2
['Bob Keeshan (Captain Kangaroo)'],0.929,0.463,0.477,0.0952,0.613,22,1940s,artist3
['Gerap Gurita'],0.00177,0.638,0.818,0.375,0.93,19,1940s,artist4
['Pony Poindexter'],0.153,0.423,0.603,0.221,0.661,18,1940s,artist5
['Russell Malone'],0.96,0.63,0.198,0.0717,0.322,33,1930s,artist1
['Teo Macero And His Orchestra'],0.574,0.451,0.556,0.0836,0.795,32,1930s,artist2
['Art Carney'],0.788,0.63,0.739,0.0799,0.825,25,1930s,artist3
['The Munchkins'],0.8512,0.5602,0.6072,0.535,0.711,21.4,1930s,artist4
['The Raymond Scott Quintette'],0.948,0.49,0.389,0.197,0.834,21,1930s,artist5
['Bix Beiderbecke'],0.991167,0.645833,0.297333,0.111033,0.732167,23.666667,1920s,artist1
['Marbella Corella'],0.731,0.751,0.231,0.115,0.369,22,1920s,artist2
"['Jimmy McPartland', 'Gil Rodin']",0.992,0.621,0.464,0.103,0.927,21,1920s,artist3
"['Bessie Smith', 'Louis Armstrong']",0.993333,0.392667,0.112833,0.224,0.331667,20,1920s,artist4
['Null'],0,0,0,0,0,0,1920s,artist5