date,WEAPON LAWS,WARRANTS,NON-CRIMINAL,ASSAULT,OTHER OFFENSES,MISSING PERSON,LARCENY/THEFT,BURGLARY,STOLEN PROPERTY,ROBBERY,FRAUD,DRUG/NARCOTIC,VEHICLE THEFT,RECOVERED VEHICLE,VANDALISM,ARSON,PROSTITUTION,SECONDARY CODES,SUSPICIOUS OCC,DRUNKENNESS,TRESPASS,"SEX OFFENSES, NON FORCIBLE","SEX OFFENSES, FORCIBLE",RUNAWAY,KIDNAPPING,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,FORGERY/COUNTERFEITING,EMBEZZLEMENT,BRIBERY,FAMILY OFFENSES,GAMBLING,SUICIDE,LIQUOR LAWS,EXTORTION,LOITERING,TREA,BAD CHECKS,PORNOGRAPHY/OBSCENE MAT
2016-01-01,7,19,85,61,65,14,118,18,6,11,11,15,20,2,28,1,0,7,32,6,6,0,9,1,0,1,4,2,8,0,0,0,0,0,1,0,0,0,0
2016-01-02,3,14,42,27,46,10,116,21,3,7,9,10,16,3,24,4,0,8,15,1,4,0,3,1,0,2,1,3,1,0,0,0,0,0,1,0,0,0,0
2016-01-03,6,13,47,33,48,6,65,10,6,7,3,17,19,2,13,1,0,3,6,2,3,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-04,4,17,50,26,46,15,89,16,2,10,8,6,15,0,17,3,0,7,22,0,4,0,1,0,1,2,1,3,0,0,0,0,0,1,0,0,0,0,0
2016-01-05,2,18,39,39,59,22,91,13,4,6,10,7,19,4,12,1,2,5,14,2,4,0,4,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0
2016-01-06,0,12,34,25,45,9,118,15,2,4,6,15,14,3,24,0,0,7,15,2,4,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
2016-01-07,4,16,61,47,52,14,105,22,4,7,8,16,18,2,15,1,0,3,16,1,1,0,3,0,1,0,1,5,2,0,0,0,0,3,0,0,0,1,0
2016-01-08,5,10,53,38,55,12,131,24,1,8,4,14,16,1,27,0,4,9,13,1,6,0,1,0,2,2,2,1,1,0,0,0,0,0,2,0,0,1,0
2016-01-09,4,26,43,30,60,4,105,10,2,11,14,11,13,2,23,0,1,9,12,1,6,1,6,2,1,3,1,3,1,0,0,0,0,0,0,0,0,2,0
2016-01-10,1,17,41,36,55,6,108,21,1,7,7,14,17,0,31,1,0,6,10,3,2,0,8,0,3,1,0,1,4,0,0,0,0,0,0,1,0,0,0
2016-01-11,2,15,44,32,46,3,96,9,0,7,6,11,24,6,13,1,0,2,27,1,9,1,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1
2016-01-12,2,16,46,42,59,8,90,15,2,11,8,15,32,2,18,1,4,8,13,1,2,0,4,1,2,5,0,1,0,0,0,0,0,0,1,0,0,0,0
2016-01-13,0,27,41,32,67,8,117,15,2,8,8,13,24,2,19,2,0,5,14,0,8,0,0,1,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-14,4,21,49,38,46,9,108,17,0,10,11,8,15,4,13,1,0,7,8,1,5,0,3,0,0,4,2,7,2,0,0,0,0,1,1,0,0,0,0
2016-01-15,3,14,60,37,49,15,113,25,0,10,10,9,22,3,24,1,1,5,18,1,5,0,6,0,0,0,2,2,1,0,0,0,1,2,1,0,0,0,0
2016-01-16,4,19,60,39,50,10,138,10,4,13,14,6,20,1,24,1,0,2,16,1,2,0,2,0,1,2,1,4,1,0,0,0,1,0,0,0,0,0,0
2016-01-17,2,12,39,33,44,10,115,19,3,10,12,4,20,3,28,0,0,7,14,2,2,0,3,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2016-01-18,4,14,42,29,37,12,107,17,2,11,10,15,18,1,25,0,2,7,11,0,5,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-19,1,18,40,25,49,11,115,19,4,8,9,16,21,1,13,1,1,8,11,0,5,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-20,6,15,52,36,72,10,127,27,1,12,15,6,15,1,26,2,6,5,10,0,5,0,6,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0
2016-01-21,9,21,49,34,52,20,115,19,2,9,11,26,25,3,21,1,0,4,16,2,5,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2016-01-22,0,28,40,34,59,18,136,20,8,4,8,6,20,5,29,1,0,2,18,3,7,0,2,1,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0
2016-01-23,2,22,50,50,71,12,127,17,4,14,6,8,12,4,26,0,28,3,13,4,4,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0
2016-01-24,3,18,40,35,57,8,114,12,6,13,6,15,15,2,15,0,0,4,21,3,4,0,1,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0
2016-01-25,2,20,45,38,53,10,96,15,5,9,7,12,15,5,21,0,3,5,19,0,7,0,5,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0
2016-01-26,6,17,44,33,66,15,123,10,3,7,10,19,17,4,26,1,2,7,11,0,7,0,0,1,0,5,1,3,1,0,0,1,0,0,0,2,0,0,0
2016-01-27,4,15,36,53,63,12,119,23,1,11,5,9,15,2,23,0,3,9,18,2,5,0,6,0,1,2,2,6,0,0,0,0,0,1,0,0,0,0,0
2016-01-28,4,21,44,25,62,5,117,23,1,3,9,9,14,3,18,0,3,3,18,3,2,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2016-01-29,7,13,56,45,75,20,136,20,4,5,10,12,21,2,22,0,38,4,19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2016-01-30,3,18,52,56,42,23,109,12,3,6,5,11,16,3,30,0,2,2,14,0,2,0,3,0,0,0,2,4,0,0,0,0,1,2,0,0,0,0,0
2016-01-31,2,17,70,30,56,15,101,9,0,7,5,5,16,2,20,0,6,3,21,1,7,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0
2016-02-01,3,24,50,51,86,15,108,16,4,9,11,12,23,0,21,3,5,10,24,0,3,0,2,1,3,1,0,1,4,1,0,0,0,0,1,0,0,0,0
2016-02-02,4,21,51,28,61,4,109,19,1,7,12,16,21,1,11,1,0,3,23,1,3,0,1,1,0,2,0,6,0,0,0,0,1,0,0,1,0,1,0
2016-02-03,7,19,50,40,61,6,101,21,2,8,7,19,14,0,16,3,6,4,18,1,6,0,3,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,7,20,65,30,73,13,115,17,2,12,4,18,16,2,9,1,47,4,20,1,5,0,3,1,1,0,0,2,1,0,2,0,0,1,0,0,0,0,0
2016-02-05,5,12,68,29,58,22,133,25,2,5,9,11,27,1,22,1,2,6,16,3,3,0,2,0,1,0,0,2,1,0,0,0,0,1,0,2,0,0,0
2016-02-06,1,10,68,42,37,16,139,19,2,11,9,7,20,1,33,0,3,3,9,4,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2016-02-07,8,19,52,58,55,10,128,11,1,12,5,8,20,2,34,1,2,8,15,3,1,0,2,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2016-02-08,8,13,50,43,64,9,106,15,5,12,5,8,18,5,28,0,1,5,12,0,1,0,0,0,1,1,3,1,0,0,0,0,2,0,0,0,0,0,0
2016-02-09,2,20,50,34,61,22,106,16,2,7,6,16,14,1,26,0,0,7,18,0,3,0,2,0,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0
2016-02-10,7,13,56,34,66,14,105,15,4,5,7,19,12,4,22,2,0,4,16,1,7,0,2,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,0
2016-02-11,4,20,56,30,44,11,98,15,4,11,2,25,13,4,17,0,1,7,17,0,5,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-12,2,17,49,30,59,18,118,19,2,10,7,18,14,3,20,2,0,4,11,1,7,0,5,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2016-02-13,5,12,48,49,50,15,112,12,0,14,14,10,18,1,18,0,0,4,18,1,2,0,1,1,0,2,4,2,1,0,0,0,0,0,0,0,0,0,0
2016-02-14,0,9,48,44,34,18,111,15,2,11,2,10,14,1,17,0,0,2,13,4,1,0,2,0,0,1,4,0,0,1,0,0,0,1,0,0,0,0,0
2016-02-15,5,15,52,46,51,9,101,19,2,13,10,23,25,2,20,2,0,6,7,0,5,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2016-02-16,5,19,34,50,69,14,114,18,4,7,12,13,23,4,17,2,0,5,15,1,4,0,3,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0
2016-02-17,2,11,45,35,52,6,114,21,2,14,12,5,14,5,32,2,0,7,13,3,5,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-18,3,21,56,28,60,3,114,23,1,9,5,11,14,4,26,1,0,7,18,2,4,0,1,0,0,2,1,2,0,0,0,0,0,1,0,1,0,0,0
2016-02-19,10,20,60,39,54,7,120,13,2,6,8,12,18,0,18,1,1,4,17,2,4,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0
2016-02-20,2,6,58,33,55,20,125,13,1,4,7,7,19,5,22,1,0,4,13,1,5,0,3,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2016-02-21,3,19,39,38,57,9,113,12,1,5,8,21,30,1,32,0,1,8,15,2,3,0,1,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0
2016-02-22,2,22,39,38,48,19,101,20,1,8,7,13,24,2,22,0,0,3,13,2,2,0,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2016-02-23,2,20,46,31,54,5,89,16,1,7,11,11,19,2,10,0,0,3,17,2,3,0,2,0,1,2,0,2,1,0,0,1,1,1,0,0,0,0,0
2016-02-24,6,17,60,35,52,12,105,19,1,5,9,9,17,3,25,0,0,9,17,1,4,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-25,6,25,56,34,49,8,88,26,4,8,6,9,21,1,19,0,0,6,12,0,1,1,5,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0
2016-02-26,4,19,43,30,46,14,115,14,1,8,3,6,22,1,23,0,0,6,12,0,5,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-27,4,25,41,53,40,2,138,13,1,7,3,13,22,0,18,2,0,4,15,2,4,0,2,0,2,1,1,1,0,1,0,0,0,0,0,2,0,2,0
2016-02-28,9,12,47,47,46,13,86,22,4,10,10,12,16,1,15,2,0,8,13,0,3,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
2016-02-29,3,16,48,27,51,11,89,21,4,5,14,14,16,3,21,0,0,6,22,1,6,0,2,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0
2016-03-01,2,10,56,42,68,14,99,20,3,4,7,3,19,4,22,1,1,4,24,1,4,1,4,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0
2016-03-02,4,19,40,29,60,18,107,18,4,8,6,14,19,1,14,0,0,7,14,0,9,0,2,1,0,2,0,3,1,0,0,0,0,3,0,1,0,0,0
2016-03-03,4,15,48,33,51,14,82,22,3,6,6,8,18,2,14,1,0,3,20,3,7,0,5,0,0,6,1,2,1,0,0,1,0,0,1,0,0,0,0
2016-03-04,5,15,64,35,74,26,103,16,3,4,10,13,24,4,26,0,0,3,22,2,5,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2016-03-05,6,14,48,34,45,11,74,16,1,7,4,10,17,0,26,2,0,6,14,1,5,0,5,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0
2016-03-06,4,14,64,24,45,18,89,16,2,4,7,11,23,3,9,2,0,3,16,0,2,0,2,3,1,0,1,2,0,0,0,1,0,1,1,0,0,0,0
2016-03-07,2,19,51,37,53,12,83,28,5,4,11,4,17,4,22,0,0,2,14,0,8,0,4,0,0,2,1,3,0,0,0,0,1,0,0,1,0,0,0
2016-03-08,3,26,42,26,59,12,75,19,1,8,5,16,15,2,18,0,0,7,17,0,2,1,2,1,1,2,2,3,1,2,0,0,0,0,1,0,0,0,0
2016-03-09,1,12,53,38,56,17,87,13,3,4,3,21,13,4,19,0,0,3,11,0,4,0,2,1,0,4,0,1,1,2,0,0,1,1,0,0,0,0,0
2016-03-10,2,13,44,21,40,12,78,25,3,7,9,12,21,1,21,0,0,7,16,2,5,0,1,0,0,3,0,1,0,0,1,0,0,1,1,0,0,0,0
2016-03-11,8,20,60,32,46,7,85,23,2,9,7,11,20,3,22,4,0,2,11,1,6,0,0,1,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0
2016-03-12,4,14,64,34,36,3,94,16,0,14,9,8,11,2,14,1,0,3,23,5,2,0,0,1,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0
2016-03-13,4,15,38,29,39,11,62,9,0,8,1,10,21,1,21,1,0,7,6,0,6,0,6,1,1,1,4,0,0,0,1,0,0,1,0,0,0,0,0
2016-03-14,5,15,50,25,71,16,94,16,2,10,7,21,12,5,28,0,0,6,11,0,7,0,4,0,0,2,1,2,0,0,0,0,0,2,1,1,0,0,0
2016-03-15,4,22,43,40,71,16,77,18,1,7,4,20,17,4,18,0,0,4,24,0,3,0,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-16,3,33,48,29,72,7,108,8,1,9,5,14,17,5,25,1,1,4,15,1,3,0,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0
2016-03-17,1,10,72,41,59,14,96,18,3,8,4,3,18,2,17,2,0,5,20,5,2,0,4,0,2,1,4,1,2,0,0,0,0,1,0,0,0,0,0
2016-03-18,6,24,48,38,57,10,132,25,4,3,11,12,26,3,21,2,0,6,13,3,7,0,3,0,0,2,1,2,0,0,1,0,0,1,0,0,0,0,0
2016-03-19,5,14,46,40,44,8,107,15,4,12,5,14,23,4,26,0,0,3,13,0,3,0,7,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0
2016-03-20,7,20,36,36,52,10,88,15,4,7,12,14,16,2,18,0,0,6,11,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0
2016-03-21,3,9,64,46,50,27,99,17,5,5,9,12,10,6,21,2,0,7,21,3,6,0,3,0,0,2,0,2,1,0,1,0,0,1,0,0,0,0,0
2016-03-22,7,18,64,47,76,16,88,14,5,11,6,18,8,0,18,1,0,8,17,3,5,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0
2016-03-23,3,22,48,40,60,19,97,19,6,7,5,19,10,1,17,0,0,5,14,0,3,1,7,0,1,2,0,1,1,1,0,0,0,0,0,1,0,0,0
2016-03-24,9,18,33,39,50,10,92,14,5,6,10,19,8,3,12,1,0,6,11,2,2,0,4,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
2016-03-25,1,24,51,36,70,7,117,14,3,7,1,12,14,2,25,1,5,5,10,0,5,0,7,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0
2016-03-26,8,21,51,37,58,23,120,13,1,8,10,13,21,4,24,0,0,6,13,3,3,0,3,2,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0
2016-03-27,10,20,48,32,52,16,90,21,3,7,3,9,12,2,24,0,0,5,14,1,5,0,4,0,1,0,2,1,2,0,0,0,0,3,0,0,0,0,0
2016-03-28,9,12,46,39,54,7,110,19,0,6,8,9,20,0,22,1,0,3,8,1,6,0,2,0,2,1,2,4,0,0,0,0,0,0,0,1,0,0,0
2016-03-29,5,18,54,38,61,13,106,23,1,11,9,28,10,5,22,1,0,3,16,0,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-30,11,20,52,41,52,9,128,11,2,4,8,14,12,2,21,0,0,3,14,3,6,0,2,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0
2016-03-31,2,24,46,29,49,13,101,24,3,6,9,7,17,2,26,4,41,2,12,1,5,0,4,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,7,21,66,45,73,31,111,26,3,23,13,13,24,3,16,1,3,4,21,3,4,1,2,0,1,2,4,3,0,1,0,0,0,0,0,0,0,0,0
2016-04-02,2,24,56,40,62,16,106,13,4,10,8,21,19,0,23,1,0,7,13,2,0,0,4,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
2016-04-03,1,10,62,36,52,13,103,14,3,6,7,16,13,2,19,0,0,4,11,3,1,1,2,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2016-04-04,4,20,53,48,72,13,101,26,10,5,8,17,19,1,18,0,0,5,23,0,7,0,3,0,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0
2016-04-05,1,19,71,25,61,7,101,14,2,7,2,9,12,4,21,2,0,3,10,1,8,0,2,0,1,1,3,1,0,1,0,0,0,1,0,0,0,0,0
2016-04-06,5,31,54,45,68,15,76,11,3,9,8,17,12,3,25,1,0,6,16,1,5,0,4,1,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0
2016-04-07,1,18,61,25,55,23,107,13,0,8,13,15,23,2,32,1,0,4,17,1,2,0,4,0,0,0,2,6,1,0,0,0,1,0,0,0,0,0,0
2016-04-08,5,28,54,46,49,16,82,12,4,10,11,12,15,2,21,0,0,6,19,1,8,0,5,0,0,0,7,2,0,1,0,0,0,1,0,0,0,0,0
2016-04-09,5,14,61,53,47,6,98,9,1,3,4,12,23,3,28,0,0,4,10,0,6,0,5,0,1,1,3,1,0,2,0,0,0,0,0,0,0,0,0
2016-04-10,0,17,42,31,53,9,61,12,2,11,3,12,16,4,27,1,0,7,16,0,2,0,4,0,0,1,2,2,0,0,1,0,1,1,0,0,0,0,0
2016-04-11,4,23,62,39,50,10,102,11,2,7,17,21,11,2,26,0,0,6,10,1,1,0,1,2,0,2,1,3,1,0,0,0,1,0,0,1,0,0,0
2016-04-12,5,17,51,37,69,11,90,18,4,8,6,13,16,3,15,0,1,11,12,0,8,0,2,1,1,3,1,5,0,0,0,0,1,0,1,0,0,0,0
2016-04-13,4,22,50,45,68,6,99,10,0,7,3,12,29,1,13,2,0,5,13,0,9,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0
2016-04-14,9,17,43,46,59,10,91,10,1,6,9,11,10,4,12,2,0,4,14,1,2,0,2,0,2,0,0,2,0,2,1,0,0,1,0,0,0,0,0
2016-04-15,6,15,60,42,57,22,101,19,2,8,3,12,26,4,14,0,0,9,23,1,7,0,3,2,1,2,1,3,0,1,0,0,0,1,0,0,0,0,0
2016-04-16,3,19,58,34,51,13,92,14,1,8,5,18,16,1,18,1,0,3,18,1,5,0,4,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0
2016-04-17,4,21,41,41,47,14,93,11,1,8,9,15,18,1,20,1,1,2,14,1,1,0,1,2,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0
2016-04-18,1,14,48,33,54,8,95,19,1,10,10,7,16,2,17,0,1,3,10,0,5,0,2,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0
2016-04-19,5,23,49,42,57,10,105,18,4,8,7,13,12,1,28,0,0,1,15,2,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
2016-04-20,11,26,61,44,87,8,82,13,5,16,3,23,27,5,22,1,3,10,23,0,2,0,2,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0
2016-04-21,5,27,41,27,60,10,92,17,2,11,10,19,21,3,20,4,0,8,22,1,3,0,2,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0
2016-04-22,4,21,66,39,48,8,101,16,0,9,7,17,8,2,27,1,0,9,13,4,4,0,2,0,0,4,0,1,2,1,0,0,0,0,0,0,0,0,0
2016-04-23,1,24,59,49,60,11,112,16,1,9,9,5,14,3,29,0,0,4,16,3,5,0,4,1,2,1,1,5,0,1,1,0,0,0,0,0,0,0,0
2016-04-24,4,21,49,41,52,6,91,17,6,12,11,12,12,0,15,0,0,1,12,1,3,1,8,0,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0
2016-04-25,6,22,57,25,63,11,101,11,1,5,3,13,7,0,25,2,0,5,12,0,4,0,3,1,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0
2016-04-26,0,15,52,26,53,6,93,15,3,3,5,9,16,1,16,0,2,5,17,0,4,0,1,1,0,2,1,2,1,1,1,0,0,0,0,1,0,0,0
2016-04-27,3,18,55,38,50,6,90,10,3,11,5,12,24,0,21,0,0,3,12,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
