date,Taliban,Islamic State of Iraq and the Levant (ISIL),Al-Shabaab,Boko Haram,New People's Army (NPA),Maoists,Communist Party of India - Maoist (CPI-Maoist),Kurdistan Workers' Party (PKK),Tehrik-i-Taliban Pakistan (TTP),Houthi extremists (Ansar Allah)
2010-01-01,36.0,0,4.0,0,0,0,29.0,0,114.0,0
2010-02-01,38.0,0,11.0,0,1.0,0,68.0,0,26.0,33.0
2010-03-01,69.0,0,6.0,0,3.0,0,24.0,0,72.0,0
2010-04-01,10.0,0,9.0,0,0.0,0,117.0,0.0,12.0,0
2010-05-01,62.0,0,6.0,0,17.0,0,215.0,0,105.0,0.0
2010-06-01,99.0,0,11.0,0,2.0,0,44.0,0.0,33.0,0
2010-07-01,61.0,0,84.0,0,1.0,0,37.0,0.0,118.0,83.0
2010-08-01,108.0,0,39.0,0,1.0,0,35.0,3.0,10.0,0
2010-09-01,61.0,0,10.0,4.0,1.0,0,42.0,9.0,113.0,0
2010-10-01,116.0,0,7.0,6.0,0.0,0,31.0,0,42.0,1.0
2010-11-01,20.0,0,3.0,4.0,3.0,0,40.0,0,120.0,0
2010-12-01,32.0,0,15.0,58.0,0.0,0,40.0,1.0,101.0,0
2011-01-01,66.0,0,8.0,16.0,8.0,0,22.0,0,53.0,0
2011-02-01,47.0,0,19.0,7.0,7.0,0,17.0,0.0,40.0,0
2011-03-01,86.0,0,4.0,9.0,5.0,0,21.0,0,74.0,0
2011-04-01,14.0,0,15.0,6.0,1.0,0,55.0,0.0,72.0,0
2011-05-01,92.0,0,4.0,32.0,2.0,0.0,67.0,0.0,139.0,0
2011-06-01,57.0,0,12.0,44.0,8.0,10.0,31.0,0.0,73.0,0
2011-07-01,59.0,0,6.0,17.0,0.0,0,35.0,1.0,0.0,0
2011-08-01,68.0,0,5.0,34.0,0.0,0,31.0,1.0,59.0,0
2011-09-01,83.0,0,12.0,13.0,0,0,18.0,15.0,91.0,0
2011-10-01,31.0,0,128.0,11.0,3.0,0,20.0,3.0,9.0,0
2011-11-01,135.0,0,67.0,85.0,6.0,11.0,1.0,5.0,7.0,0
2011-12-01,77.0,0,13.0,52.0,0,1.0,11.0,0,19.0,0
2012-01-01,132.0,0,75.0,330.0,7.0,16.0,0,0,111.0,0
2012-02-01,97.0,0,94.0,117.0,3.0,10.0,0,5.0,75.0,0
2012-03-01,189.0,0,67.0,59.0,12.0,17.0,1.0,0.0,161.0,0
2012-04-01,218.0,0,56.0,140.0,24.0,10.0,2.0,1.0,24.0,0
2012-05-01,293.0,0,73.0,34.0,5.0,20.0,1.0,17.0,46.0,0
2012-06-01,360.0,0,36.0,134.0,15.0,16.0,4.0,37.0,102.0,0
2012-07-01,333.0,0,112.0,121.0,4.0,4.0,5.0,5.0,80.0,0
2012-08-01,223.0,0,34.0,59.0,11.0,10.0,1.0,67.0,165.0,0
2012-09-01,210.0,0,58.0,58.0,0.0,7.0,3.0,78.0,51.0,0
2012-10-01,253.0,0,31.0,80.0,6.0,6.0,8.0,16.0,38.0,0
2012-11-01,139.0,0,36.0,56.0,19.0,11.0,1.0,4.0,73.0,0
2012-12-01,113.0,0,32.0,64.0,4.0,3.0,1.0,0,77.0,0
2013-01-01,94.0,0,69.0,86.0,17.0,3.0,17.0,14.0,28.0,0
2013-02-01,66.0,0,38.0,74.0,3.0,17.0,0.0,0,114.0,0
2013-03-01,177.0,1.0,37.0,123.0,8.0,0.0,7.0,0.0,75.0,0
2013-04-01,272.0,28.0,59.0,103.0,19.0,7.0,10.0,0,90.0,0.0
2013-05-01,293.0,130.0,73.0,114.0,31.0,5.0,22.0,0,93.0,0.0
2013-06-01,304.0,160.0,65.0,94.0,13.0,4.0,6.0,0.0,78.0,10.0
2013-07-01,254.0,315.0,63.0,100.0,12.0,18.0,12.0,0.0,44.0,0
2013-08-01,470.0,220.0,37.0,201.0,9.0,5.0,4.0,0,61.0,5.0
2013-09-01,286.0,267.0,126.0,318.0,16.0,7.0,4.0,0.0,39.0,2.0
2013-10-01,233.0,94.0,36.0,268.0,10.0,12.0,3.0,0.0,20.0,4.0
2013-11-01,125.0,70.0,50.0,108.0,11.0,27.0,1.0,0.0,27.0,5.0
2013-12-01,173.0,170.0,97.0,140.0,7.0,15.0,1.0,0.0,18.0,35.0
2014-01-01,222.0,237.0,65.0,230.0,8.0,16.0,0.0,1.0,96.0,2.0
2014-02-01,129.0,184.0,81.0,413.0,3.0,5.0,9.0,0,70.0,13.0
2014-05-01,406.0,276.0,212.0,1455.0,20.0,13.0,3.0,3.0,56.0,31.0
2014-03-01,279.0,270.0,139.0,492.0,27.0,4.0,2.0,1.0,38.0,8.0
2014-04-01,219.0,242.0,131.0,357.0,3.0,27.0,15.0,0.0,27.0,6.0
2014-06-01,292.0,3070.0,215.0,847.0,13.0,13.0,1.0,2.0,79.0,41.0
2014-07-01,691.0,908.0,285.0,529.0,51.0,18.0,8.0,2.0,51.0,51.0
2014-08-01,459.0,2479.0,85.0,271.0,5.0,6.0,6.0,1.0,50.0,3.0
2014-09-01,537.0,524.0,107.0,763.0,13.0,2.0,3.0,4.0,42.0,19.0
2014-10-01,261.0,922.0,132.0,238.0,14.0,4.0,1.0,6.0,2.0,17.0
2014-11-01,321.0,367.0,165.0,645.0,23.0,5.0,0.0,0,83.0,14.0
2014-12-01,298.0,724.0,172.0,861.0,8.0,4.0,24.0,1.0,190.0,31.0
2015-01-01,230.0,696.0,68.0,889.0,6.0,6.0,3.0,0.0,15.0,7.0
2015-02-01,136.0,358.0,127.0,1200.0,23.0,12.0,2.0,0,10.0,12.0
2015-03-01,232.0,646.0,72.0,517.0,15.0,9.0,2.0,0.0,46.0,91.0
2015-04-01,419.0,921.0,223.0,439.0,14.0,6.0,54.0,5.0,17.0,118.0
2015-05-01,678.0,940.0,69.0,320.0,13.0,8.0,10.0,0.0,58.0,204.0
2015-06-01,604.0,1005.0,238.0,487.0,17.0,6.0,5.0,3.0,18.0,87.0
2015-07-01,420.0,833.0,204.0,918.0,33.0,1.0,5.0,30.0,45.0,177.0
2015-08-01,418.0,761.0,162.0,512.0,19.0,6.0,7.0,100.0,45.0,179.0
2015-09-01,709.0,526.0,253.0,335.0,9.0,3.0,2.0,81.0,57.0,173.0
2015-10-01,734.0,542.0,12.0,433.0,18.0,18.0,0.0,43.0,16.0,33.0
2015-11-01,225.0,652.0,113.0,197.0,16.0,4.0,0.0,30.0,4.0,165.0
2015-12-01,413.0,572.0,105.0,247.0,15.0,13.0,5.0,27.0,34.0,60.0
2016-01-01,178.0,1107.0,227.0,280.0,9.0,9.0,16.0,32.0,54.0,24.0
2016-02-01,303.0,1321.0,98.0,184.0,25.0,7.0,0.0,25.0,32.0,23.0
2016-03-01,332.0,818.0,162.0,75.0,9.0,22.0,12.0,60.0,103.0,26.0
2016-04-01,548.0,934.0,72.0,130.0,7.0,20.0,3.0,35.0,28.0,79.0
2016-05-01,420.0,1080.0,109.0,58.0,16.0,12.0,1.0,73.0,16.0,73.0
2016-06-01,521.0,1048.0,227.0,148.0,14.0,9.0,1.0,42.0,4.0,118.0
2016-07-01,523.0,826.0,118.0,71.0,6.0,11.0,19.0,85.0,3.0,157.0
2016-08-01,435.0,454.0,118.0,49.0,8.0,3.0,2.0,92.0,5.0,23.0
2016-09-01,642.0,555.0,52.0,133.0,0.0,10.0,1.0,48.0,67.0,115.0
2016-10-01,675.0,1508.0,130.0,69.0,0,11.0,3.0,56.0,7.0,43.0
2016-11-01,200.0,704.0,124.0,150.0,2.0,8.0,0.0,16.0,17.0,97.0
2016-12-01,252.0,1331.0,126.0,121.0,2.0,12.0,2.0,20.0,1.0,78.0
2017-01-01,276.0,825.0,236.0,117.0,4.0,42.0,5.0,5.0,3.0,25.0
2017-02-01,217.0,703.0,84.0,35.0,24.0,20.0,14.0,2.0,70.0,49.0
2017-03-01,267.0,845.0,71.0,35.0,33.0,5.0,19.0,8.0,71.0,89.0
2017-04-01,438.0,526.0,118.0,151.0,12.0,10.0,37.0,18.0,36.0,23.0
2017-05-01,598.0,842.0,109.0,129.0,7.0,6.0,4.0,18.0,7.0,32.0
2017-06-01,315.0,1050.0,210.0,148.0,14.0,2.0,3.0,23.0,4.0,9.0
2017-07-01,609.0,541.0,96.0,216.0,24.0,3.0,3.0,25.0,57.0,32.0
2017-08-01,610.0,348.0,64.0,158.0,20.0,3.0,1.0,18.0,12.0,42.0
2017-09-01,378.0,502.0,122.0,119.0,16.0,5.0,3.0,17.0,11.0,22.0
2017-10-01,524.0,359.0,682.0,91.0,17.0,7.0,5.0,19.0,19.0,9.0
2017-11-01,278.0,235.0,25.0,182.0,15.0,10.0,2.0,15.0,36.0,77.0
2017-12-01,302.0,203.0,66.0,163.0,11.0,8.0,5.0,9.0,23.0,34.0
